"【药品名称】
通用名称：艾迪注射液
汉语拼音：Aidi zhusheye",【成份】斑蝥、人参、黄芪、刺五加。,【性状】本品为浅棕色的澄明液体。,【功能主治】清热解毒，消瘀散结。用于原发性肝癌，肺癌，直肠癌，恶性淋巴瘤，妇科恶性肿瘤等。
"【药品名称】
通用名称：牛黄降压胶囊
汉语拼音： Niuhuang Jiangya Jiaonang",【成份】人工牛黄、羚羊角、珍珠、冰片、黄芪、郁金。,【性状】本品为胶囊剂，内容物为暗黄色粉末；气微香，味微甜、苦，有清凉感。,【功能主治】清心化痰，镇静降压。用于肝火旺盛，头晕目眩，烦躁不安，痰火壅盛，高血压症。
"【药品名称】
通用名称：牛黄解毒片
汉语拼音：Niu Huang Jie Du Pian",【成份】牛黄、雄黄、石膏、大黄、黄芩、桔梗、冰片、甘草。,【性状】本品为黄色糖衣片，除去包衣后显棕黄色；有冰片香气，味微苦，辛,【功能主治】清热解毒。用于火热内盛，咽喉肿痛，牙龈肿痛，口舌生疮，目赤肿痛。
"【药品名称】
通用名称：牛黄清火丸
汉语拼音：Niuhuang Qinghuo Wan",【成份】大黄、黄芩、桔梗、牛黄、冰片、丁香、山药、雄黄、薄荷脑。,【性状】本品为棕黄色的大蜜丸；有冰片香气，味微甜而苦。,【功能主治】清热，散见，解毒。用于肝胃肺蕴热引起的头晕目眩，口鼻生疮风火牙疼，咽喉肿痛，痄腮红肿，耳鸣肿痛。
"【药品名称】
通用名称：牛黄上清胶囊
汉语拼音：niu huang shang qing jiao nang","【成份】
人工牛黄、薄荷、菊花、荆芥穗、白芷、川芎、栀子、黄连、黄柏、黄芩、大黄、连翘、赤芍、当归、地黄、桔梗、甘草、石膏、冰片。",【性状】本品为　　色的胶囊剂，内容物为棕黄色至深棕色粉末；气芳香，味苦。,【功能主治】清热泻火，散风止痛。用于热毒内盛、风火上攻所致的头痛眩晕、目赤耳鸣、咽喉肿痛、口舌生疮、牙龈肿痛、大便燥结。
"【药品名称】
通用名称：牛黄上清丸
汉语拼音：niu huang shang qing wan",【成份】人工牛黄、薄荷、菊花、荆芥穗、白芷、川芎、栀子、黄连、黄柏、黄芩、大黄、连翘、赤芍、当归、地黄、桔梗、甘草、石膏、冰片。辅料为赋形剂蜂蜜。,【性状】本品为红褐色至黑褐色的大蜜丸；气芳香，味苦。,【功能主治】清热泻火，散风止痛。用于头痛眩晕，目赤耳鸣，咽喉肿痛，口舌生疮，牙龈肿痛，大便燥结。
"【药品名称】
通用名称：牛黄蛇胆川贝散
汉语拼音：Niuhuang Shedan Chuanbei San",【成份】牛黄、蛇胆汁、川贝母。,【性状】本品为浅黄色至浅棕黄色的粉末；味甘、微苦。,【功能主治】清热，化痰，止咳。用于外感咳嗽中的热痰咳嗽，燥痰咳嗽。
"【药品名称】
通用名称：牛黄醒消丸
汉语拼音：Niuhuang Xingxiao Wan",【成份】牛黄、麝香、乳香(制)、没药(制)、雄黄。,【性状】本品为棕黄色至暗黄色的水丸；气芳香，味微苦。,【功能主治】清热解毒，消肿止痛。用于痈疽发背，瘰疬流注，乳痈乳岩，无名肿毒。
"【药品名称】
通用名称：女金胶囊
汉语拼音：nv jin jiao nang",【成份】当归、白芍、川芎、熟地黄、党参、白术（炒）、茯苓、甘草、肉桂、益母草、牡丹皮、没药（制）、延胡素（醋制）、蒿本、白芷、黄芩、白薇、香附（醋制）、砂仁、陈皮、赤石脂（煅）、鹿角霜、阿胶。辅料为微粉硅胶、硬脂酸镁。,【性状】本品为胶囊剂，内容物为棕色至棕褐色的颗粒或粉末，气香，味微苦。,【功能主治】调经养血，理气止痛。用于月经量少、后错，痛经，小腹胀痛，腰腿酸痛。
"【药品名称】
通用名称：女金丸
汉语拼音：nv jin wan",【成份】当归、白芍、川芎、熟地黄、党参、炒白术、茯苓、甘草、肉桂、益母草、牡丹皮、没药(制)、醋延胡索、藁本、白芷、黄芩、白薇、醋香附、砂仁、陈皮、煅赤石脂、鹿角霜、阿胶。辅料为：蜂蜜。,【性状】本品为棕褐色至黑棕色的大蜜丸；气芳香，味甜、微苦。,【功能主治】益气养血，理气活血，止痛。用于气血两虚、气滞血瘀所致的月经不调，症见月经提前、月经错后、月经量多、神疲乏力、行经腹痛。
"【药品名称】
通用名称：内补养荣丸
汉语拼音：Neibu Yangrong Wan",【成份】当归、川芎、黄芪(蜜炙)、甘草、香附(醋炙)、熟地黄、阿胶、白术(麸炒)、砂仁、益母草、白芍、艾叶炭、茯苓、陈皮、杜仲炭。辅料为赋形剂蜂蜜。,【性状】本品为黑褐色的大蜜丸；味甜、微苦。,【功能主治】补气养血。用于气血不足引起的月经不调，经血量少，经期腹痛，腰酸腿软，面色无华。
"【药品名称】
通用名称：那如三味丸
汉语拼音：na ru san wei wan",【成份】制草乌、诃子、荜拔,【性状】本品为红色水丸，除去包衣显棕黄色；味微酸，辛麻。,【功能主治】消“粘”，除“协日乌素”，祛风，止痛，散寒。用于风湿，关节疼痛，腰腿冷痛，牙痛，白喉等症。
"【药品名称】
通用名称：男宝胶囊
汉语拼音： Nanbao Jiaonang",【成份】鹿茸、海马、阿胶牡丹皮、黄芪、驴肾狗肾、人参、当归杜仲、肉桂、枸杞子菟丝子、附子、巴戟天肉苁蓉、熟地黄茯苓白术、山茱萸淫羊藿补肾脂、覆盆子胡芦巴麦冬、锁阳、仙茅川续断、牛膝、玄参甘草,【性状】本品为胶囊剂，内容物为暗褐色粉末；味微咸，气微弱。,【功能主治】壮阳补肾。用于肾阳不足引起的性欲淡漠，阳痿滑泄，腰腿酸痛，肾囊湿冷，精神萎靡，食欲不振等症。
"【药品名称】
通用名称：男康片
汉语拼音：Nankang Pian",【成份】白花蛇舌草、赤芍、熟地黄、肉苁蓉、甘草（蜜灸）、蒲公英、败酱草、黄柏、红花、鱼腥草、淫羊藿、覆盆子、白术、黄芪、菟丝子、紫花地丁、野菊花、当归、鹿衔草。,【性状】本品为糖衣片，除去糖衣后显灰褐色；味微酸。,"【功能主治】　补肾益精，活血化瘀，利湿解毒。用于治疗肾精亏损,瘀血阻滞,湿热蕴结引起的慢性前列腺炎。"
"【药品名称】
通用名称：南板蓝根颗粒
汉语拼音：nan banlangen keli",【成份】南板蓝根、蒲公英、紫花地丁。,【性状】本品为黄褐色颗粒；味甘、微苦。,【功能主治】清热解毒。用于风热感冒所致的咽喉肿痛。
"【药品名称】
通用名称：囊虫丸［剧］
汉语拼音：Nangchong Wan",【成份】茯苓、水蛭(烫)、雷丸、大黄、僵蚕、桃仁、黄连、牡丹皮、生川乌、芫花、化橘红、五灵脂流浸膏、,【性状】本品为棕褐色的大蜜丸；气腥，味苦。,【功能主治】杀虫解毒，活血化瘀，软坚消囊，镇静止痛。用于人的猪囊虫病，脑囊虫及脑囊虫引起的癫痫。
"【药品名称】
通用名称：蛲虫药膏
汉语拼音：Naochong Yaogao",【成份】百部浸膏、甲紫。,【性状】本品为深紫色的软膏。,【功能主治】驱杀蛲虫。用于蛲虫（线头虫，寸百虫）的治疗。
"【药品名称】
通用名称：脑乐静颗粒
汉语拼音：Naolejing Keli",【成份】甘草、大枣、小麦麸.（或小麦.）、蔗糖,,【功能主治】养心，健脑，安神。用于精神忧郁，易惊失眠，烦躁。
"【药品名称】
通用名称：脑力静糖浆
汉语拼音： Naolijing Tangjiang",【成份】大枣、小麦、甘草流浸膏、甘油磷酸钠、维生素B1、维生素B2、维生素B6。,【性状】本品为棕红色的粘稠液体；气香，味甜。,【功能主治】养心安神，和中缓急，补脾益气。用于心气不足引起的神经衰弱，头晕目眩，身体虚弱，失眠健忘，精神忧郁，烦躁及小儿夜不安寐。
"【药品名称】
通用名称：脑灵素胶囊
汉语拼音：Naolingsu Jiaonang",【成份】枸杞子、黄精、苍耳子、五味子、淫羊藿(羊油制)、大枣、熟地黄、远志、龟甲、麦冬、酸枣仁、鹿角胶、茯苓、人参、鹿茸、,【性状】本品为胶囊剂，内容物为棕褐色的粉末；味苦寺、微酸。,【功能主治】补气血，健脑安神。用于神经衰弱，健忘失眠，头晕心悸，身倦无力，体虚自汗，阳痿遗精。
"【药品名称】
通用名称：脑宁糖浆
汉语拼音：Naoning Tangjiang",【成份】鲜松针、灵芝、蔗糖,,【功能主治】补益气血，养心安神。用于心神不宁所致的失眠，心烦，焦虑。
"【药品名称】
通用名称：脑心舒口服液
汉语拼音：Naoxinshu Koufuye",【成份】蜜环菌浓缩液、蜂王浆。,【性状】本品为淡黄色或棕黄色的液体；味甜。,【功能主治】滋补强壮，镇静安神。用于身体虚弱，心神不安，失眠多梦，神经衰弱，头痛眩晕。
"【药品名称】
通用名称：脑震宁颗粒
汉语拼音：Naozhenning Keli",【成份】地黄、当归、酸枣仁(炒)、柏子仁、茯苓、陈皮、丹参、川芎、地龙、牡丹皮、竹茹。,【性状】本品为黄棕色的颗粒；气微香，味甜、微苦。,【功能主治】凉血活血，化瘀通络，益血安神，宁心定智，除烦止呕。用于脑外伤引起的头痛、头晕，烦躁失眠，健忘惊悸，恶心呕吐。
"【药品名称】
通用名称：尿毒灵灌肠液
汉语拼音：Niaoduling Guanchangye",【成份】甲组：大黄、连翘、龙骨(锻)、蒺藜、牡蛎、丹参、桂枝、地榆、槐米、钩藤、青黛、栀子、黄柏、土茯苓、金银花、乙组：生晒参、麦冬、枸杞、白茅根、红花、,【性状】甲组：为灰绿色的粉末；味淡。 乙组：为棕褐色的液体；味淡。,【功能主治】通腑泄浊，利尿消肿。用于全身浮肿，恶心呕吐，大便不通，无尿少尿，头痛烦躁，舌黄，苔腻，脉实有力，以及各种原因引起的肾功能衰竭，氮质血症及肾性高血压。
"【药品名称】
通用名称：宁坤丸
汉语拼音：Ningkun Wan",【成份】益母草(酒制)、熟地黄(酒制)、党参(炙)、白术(炒)、当归(酒制)、白芍(酒炒)、香附(酒醋制)、川芎(酒制)等21味。,【性状】本品为棕褐色的水蜜丸或棕黑色的大蜜丸；气香，味苦、微甘。,【功能主治】补气养血，调经止痛。用于妇女血虚气滞，月经不调，经前经后腹痛腰痛。
"【药品名称】
通用名称：宁清泰颗粒
汉语拼音：ning qing tai ke li",【成份】黄芪、人参、南沙参、何首乌（制）、黄精（制）、益母草、丹参、三七、蛇床子、肉桂。,,【功能主治】益气，养阴，活血。用于改善老年气虚、阴亏、血瘀引起的神疲乏力，气短懒言。
"【药品名称】
通用名称：宁神补心片
汉语拼音：Ningshen Buxin Pian",【成份】丹参、熟地黄、生地黄、女贞子(制)、旱莲草、珍珠母(煅)、石菖蒲、首乌藤、合欢皮、五味子。,【性状】本品为糖衣片，除去糖衣后，显棕褐色；味微酸而涩。,【功能主治】养血安神，滋补肝肾。用于肝肾阴血不足所致的头昏，耳鸣，心悸，健忘，失眠。
"【药品名称】
通用名称：宁神灵冲剂
汉语拼音：Ningshenling Chongji",【成份】柴胡、黄芩、大黄、半夏、桂枝、甘草、龙骨、牡蛎、,【性状】本品为褐色的颗粒；味酸、涩、微甘。,【功能主治】舒肝开郁，镇惊安神。用于头昏头痛，心烦易怒，心悸不宁，胸闷少气，惊厥抽搐，少寐多梦。
"【药品名称】
通用名称：宁神灵颗粒（冲剂）
汉语拼音：ning shen ling ke li(chong ji)",,,【功能主治】舒肝开郁，镇惊安神。用于头昏头痛，心烦易怒，心悸不宁，胸闷少气，少寐多梦。
"【药品名称】
通用名称：宁嗽化痰丸
汉语拼音：Ningsou Huatan Wan",【成份】紫菀、知母、麦冬、黄芩、百合、玄参、当归、紫苏子、五味子、地黄、百部、橘红、款冬花、半夏曲、天冬、天花粉、桑白皮、川贝母、前胡、旋覆花、桔梗、甘草、栀子、苦杏仁、,【性状】本品为黑褐色的大蜜丸；味甜、微苦。,【功能主治】止嗽化痰，清热定喘。用于多年咳嗽，老病痰喘，咽干口渴，胸闷气短，痰中带血。
"【药品名称】
通用名称：宁嗽露（糖浆剂）
汉语拼音：Ningsou Lu",【成份】麻黄、400g、紫苑、300g、百部（蒸)、300g、甘草、150g、苦杏仁300g、,【性状】本品为棕褐色的液体；味甜而苦。,【功能主治】止咳化痰。用于伤风咳嗽。
"【药品名称】
通用名称：宁心安神胶囊
汉语拼音：Ningxin Anshen Jiaonang",【成份】丹参、远志(制)、茯苓、石菖蒲、琥珀、珍珠母、磁石(煅)、黄连、小麦、红枣。,【性状】本品为胶囊剂，内容物为黄棕色的粉末；味苦。,【功能主治】镇惊安神，宽胸宁心。用于更年期综合征，神经衰弱。
"【药品名称】
通用名称：男春宝胶囊
汉语拼音：Nanchunbao Jiaonang",【成份】蜈蚣、当归、白芍、甘草、,【性状】本品为胶囊剂，内容物为棕黄色；味微甜。,【功能主治】疏肝通络，养血荣筋。用于肝气不疏，血不荣筋而致的阳痿。
"【药品名称】
通用名称：南板蓝根冲剂
汉语拼音：Nanbanlangen Chongji",【成份】南板蓝根、大青叶、,【性状】本品为黄褐色颗粒，或长方形块状冲剂；味甘、微苦。,【功能主治】清热解毒，凉血。用于温病发热，热毒发斑，风热感冒，咽喉肿烂，流行性乙型脑炎，肝炎，腮腺炎。
"【药品名称】
通用名称：南板蓝根颗粒（冲剂）
汉语拼音：na ban la gen ke li(chong ji)",【成份】板蓝根。辅料为糊精、蔗糖,【性状】本品为棕色或棕褐色的颗粒；味甜、微苦。,【功能主治】清热解毒。用于风热感冒所致的咽喉肿痛。
"【药品名称】
通用名称：硇砂膏
汉语拼音：Naosha Gao",【成份】硇砂、轻粉、乳香、红升丹、没药、樟脑、血竭、儿茶、当归、大黄、连翘、木鳖子、白敛、赤芍、桔梗、白芷、玄参、苍术、地黄、蓖麻子、金银花、穿山甲、川芎、蜈蚣、,【性状】本品为摊于纸上的黑膏药。,【功能主治】　解毒活血，消肿止痛。用于疮疖坚硬、红肿痛痒、溃烂。
"【药品名称】
通用名称：脑乐静
汉语拼音：Naolejing",【成份】甘草浸膏、大枣、小麦。,【性状】本品为淡棕色的粘稠液体；气微，味甜。,【功能主治】养心安神。用于心神失养所致的精神忧郁、易惊不寐、烦躁。
